5-Fu_28	Acitretin_29	Amoxycillin_00	Artesunate_01	Ascorbic acid_02	Ascorbic acid_30	Bosentan_03	Busulfan_04	Carbamazepine_05	Cetirizine_06	Cetirizine_31	Cyclopamine_07	Cyproheptadine_08	DAPT_10	Dabrafenib_09	Dasatinib_11	Dexamethasone_12	Dorsomorphin_13	Doxycycline_14	Hydroxyurea_15	IWP-2_19	Ibuprofen_16	Ibuprofen_32	Imatinib_17	Isotretinoin_18	Lazabemide_33	Metformin_20	Methotrexate_21	Misoprostol_34	Penicillin G_22	Progesterone_23	Retinoic acid_24	SB431542_25	Thalidomide_26	Valproic acid_27	Warfarin_35
0.0	0.8763018865897202	0.36885971009307067	0.9614583197555312	0.0	0.0	0.9941570732169336	0.0	0.0	0.8507543786321607	0.8507543786321607	0.9976487694228406	0.3655691163217301	0.9602868451365416	0.883456087032664	0.9626471098822997	0.962033995635366	0.9140205798488299	0.899914094622812	0.0	0.6799278931155623	0.03180715359218399	0.03180715359218399	0.9934250186772038	0.9106562050277441	0.0	0.0	0.8870961401594828	0.9970900140361187	0.276553851592598	0.9615558591695202	0.9065381036470983	0.3584828043199977	0.0	0.0	0.19864734428359176
0.0	0.8709692220717142	0.36488341436472277	0.9596249890746334	0.0	0.0	0.9833579799563137	0.0	0.0	0.8494427105001618	0.8494427105001618	0.9976166254668504	0.3402033390484184	0.9596911357963577	0.8712107156327588	0.9625884184314284	0.9616151719336766	0.9100139037870904	0.8961215294499796	0.0	0.6651935761384821	0.028735625740762452	0.028735625740762452	0.9912260787126802	0.9034944925580571	0.0	0.0	0.8663527577274517	0.9968511139445326	0.2682373024808544	0.9592067535450832	0.8958695131901372	0.3367710116782254	0.0	0.0	0.1817880106225368
0.0	0.8349100050309645	0.3561167158359301	0.9595504539437095	0.0	0.0	0.9810827499395318	0.0	0.0	0.8458358305596501	0.8458358305596501	0.9975109947084576	0.33591137151273187	0.9591568568952423	0.8497379382287741	0.9609797547727398	0.9608389987506049	0.886074520419151	0.8855696892466373	0.0	0.5789520318869822	0.020899976486063458	0.020899976486063458	0.9850826220518196	0.8934691296952985	0.0	0.0	0.8546262431543751	0.9968218268765363	0.26467490877819017	0.9589818995053204	0.893129909707846	0.3321687544724097	0.0	0.0	0.1690388786430187
0.0	0.8183416500023605	0.3378381964703473	0.9593569278351044	0.0	0.0	0.9802552026497681	0.0	0.0	0.844636515754035	0.844636515754035	0.9974559270729763	0.3154853403964447	0.9584763260615067	0.8399577161711604	0.9595044034526046	0.9594496319644146	0.8675018507002505	0.8666371267127102	0.0	0.5549971397576196	0.01616749958372258	0.01616749958372258	0.9783489740569811	0.8831945284310522	0.0	0.0	0.8500821328455064	0.9966618103844355	0.2627259550817455	0.9584480345025788	0.8767674744353157	0.32026960101167257	0.0	0.0	0.15585847587340773
0.0	0.8153745595110609	0.3090513629307382	0.9399795228680172	0.0	0.0	0.9778088466708844	0.0	0.0	0.8356829661860414	0.8356829661860414	0.997321104539939	0.3030375051699089	0.9487461616924119	0.8233318954112119	0.9573153961725156	0.9583094416621566	0.8551448424413387	0.864073836944843	0.0	0.5296486695712854	0.01280760465466214	0.01280760465466214	0.978124318286603	0.8597574913815071	0.0	0.0	0.8238178421674033	0.9965437654985851	0.2514279921447099	0.957884975504454	0.866107166128919	0.31164678348265606	0.0	0.0	0.09119473250591104
0.0	0.8088650075466262	0.30761236527146163	0.9283621250198749	0.0	0.0	0.9776002674983533	0.0	0.0	0.8286335377550219	0.8286335377550219	0.9973187977919342	0.30015200057585467	0.9446510180219393	0.8120371057920268	0.9512582548770786	0.957275527070297	0.8518066436027435	0.8557823069472006	0.0	0.4930172122352282	0.0	0.0	0.9780390762251258	0.8462716376044765	0.0	0.0	0.8123554074506523	0.9965346504930345	0.24588426332961716	0.9525911733425506	0.83309179999149	0.3013690775670468	0.0	0.0	0.08095269429410538
0.0	0.8071518038680495	0.2998506620497817	0.9246831772710422	0.0	0.0	0.9775845823877726	0.0	0.0	0.8257359714264612	0.8257359714264612	0.9972264383139949	0.26328493320806184	0.9290082662366209	0.7937790585276288	0.9495438998895299	0.9569731226708394	0.8505346043262746	0.8500011831806008	0.0	0.473869877693376	0.0	0.0	0.9769366079032729	0.8261433168953034	0.0	0.0	0.7934117662194421	0.9964897791089503	0.2296620390876049	0.941772038270129	0.8261613158302401	0.2697511204080885	0.0	0.0	0.07798081002119395
0.0	0.7820683645086965	0.2955051619674899	0.9122466917915827	0.0	0.0	0.9769589613931562	0.0	0.0	0.8087072885201839	0.8087072885201839	0.9972198705892817	0.25206220353382847	0.9269530929463232	0.7831580441320279	0.9285940443303856	0.9518142657860184	0.8477577175829478	0.8448987230984442	0.0	0.4365133255819351	0.0	0.0	0.9764400398095815	0.8210614361549496	0.0	0.0	0.779052146883252	0.9964201563981319	0.2130280414073892	0.9341237151439526	0.8170858489267776	0.2648612302704434	0.0	0.0	0.07477933136585604
0.0	0.7628511412001571	0.2874747803289678	0.9096705074370888	0.0	0.0	0.9746949107204913	0.0	0.0	0.7929135405866357	0.7929135405866357	0.9971570110417565	0.2506946427072864	0.9256912179872999	0.7779066335600542	0.9156630592080034	0.9377988736572407	0.8428506316055997	0.8361919494882286	0.0	0.4295299262609038	0.0	0.0	0.9751647318972085	0.8033279780073542	0.0	0.0	0.7616328661327308	0.9962217294551761	0.20816639117658875	0.9290226094023978	0.8078536630140375	0.2603814568835577	0.0	0.0	0.0709658001858991
0.0	0.7346566258896701	0.28259589406126356	0.8968081366260438	0.0	0.0	0.9719254939160515	0.0	0.0	0.777641767833922	0.777641767833922	0.9971144715552052	0.2483419478581154	0.8902463515150857	0.7597310107878792	0.9049048053834555	0.9369712832309691	0.840769037517072	0.8206677994101842	0.0	0.42073478930157154	0.0	0.0	0.9719327428971586	0.8021330120346143	0.0	0.0	0.7560101148980575	0.995948777377451	0.19995942562447774	0.9016126363470708	0.8013026823085084	0.25845055075264123	0.0	0.0	0.06382047962011998
